partition,test_type,pvim_item,status,owner,model
parmcmse,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: treset - verify no TDRs perturbed by TRESET,MISSING,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_rw_access,[NWP] TAP: iJTAG R/W,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_continuity,[NWP] TAP: IJTAG icl continuity tests of entire network,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_continuity,"[NWP] TAP: pause-dr, exit, pause-ir",PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_continuity,[NWP] TAP: chain connectivity all RTDR and TDRs,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,n/a,[NWP] TAP: security - sib,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,icl_verify_dft,[NWP] TAP: icl_verify,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmemdfi0,n/a,[NWP] IOV: Chain continuity check,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,n/a,[NWP] LCP: partition level validation - controller and chain continuity,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,n/a,[NWP] TAP: Boundary Scan,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: iJTAG reset / network collapse,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,n/a,[NWP] TAP: security - taps & rtdrs,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,n/a,[NWP] IOV: Chain reset test,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_reset,[NWP] TAP: check reset (default) register values,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_user_defined,[NWP] TAP: IDCODE all taps in the partition,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,n/a,[NWP] IOV: IDV counter readout,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_rw_access,[NWP] TAP: rw to all RTDR/TDR,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: ijtag reset does not perturb TDRs,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: treset - verify no TDRs perturbed by TRESET,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_rw_access,[NWP] TAP: iJTAG R/W,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_continuity,[NWP] TAP: IJTAG icl continuity tests of entire network,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_continuity,"[NWP] TAP: pause-dr, exit, pause-ir",MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,ijtag_basic_tap_tests_continuity,[NWP] TAP: chain connectivity all RTDR and TDRs,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,n/a,[NWP] TAP: security - sib,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmemdfi0,icl_verify_dft,[NWP] TAP: icl_verify,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmemsram,n/a,[NWP] IOV: Chain continuity check,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,n/a,[NWP] LCP: partition level validation - controller and chain continuity,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,n/a,[NWP] TAP: Boundary Scan,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: iJTAG reset / network collapse,MISSING,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,n/a,[NWP] TAP: security - taps & rtdrs,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,n/a,[NWP] IOV: Chain reset test,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_reset,[NWP] TAP: check reset (default) register values,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_user_defined,[NWP] TAP: IDCODE all taps in the partition,MISSING,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,n/a,[NWP] IOV: IDV counter readout,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_rw_access,[NWP] TAP: rw to all RTDR/TDR,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: ijtag reset does not perturb TDRs,MISSING,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: treset - verify no TDRs perturbed by TRESET,MISSING,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_rw_access,[NWP] TAP: iJTAG R/W,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_continuity,[NWP] TAP: IJTAG icl continuity tests of entire network,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_continuity,"[NWP] TAP: pause-dr, exit, pause-ir",PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmemsram,ijtag_basic_tap_tests_continuity,[NWP] TAP: chain connectivity all RTDR and TDRs,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
